Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Polska;Kowalski;2003-07-16;10248;440
Polska;Sowiński;2003-07-10;10249;1863,4
Niemcy;Peacock;2003-07-12;10250;1552,6
Niemcy;Leverling;2003-07-15;10251;654,06
Niemcy;Peacock;2003-07-11;10252;3597,9
Niemcy;Leverling;2003-07-16;10253;1444,8
Polska;Kowalski;2003-07-23;10254;556,62
Polska;Dudek;2003-07-15;10255;2490,5
Niemcy;Leverling;2003-07-17;10256;517,8
Niemcy;Peacock;2003-07-22;10257;1119,9
Niemcy;Davolio;2003-07-23;10258;1614,88
Niemcy;Peacock;2003-07-25;10259;100,8
Niemcy;Peacock;2003-07-29;10260;1504,65
Niemcy;Peacock;2003-07-30;10261;448
Niemcy;Callahan;2003-07-25;10262;584
Polska;Dudek;2003-07-31;10263;1873,8
Polska;Sowiński;2003-08-23;10264;695,62
Niemcy;Fuller;2003-08-12;10265;1176
Niemcy;Leverling;2003-07-31;10266;346,56
Niemcy;Peacock;2003-08-06;10267;3536,6
Niemcy;Callahan;2003-08-02;10268;1101,2
Polska;Kowalski;2003-08-09;10269;642,2
Niemcy;Davolio;2003-08-02;10270;1376
Polska;Sowiński;2003-08-30;10271;48
Polska;Sowiński;2003-08-06;10272;1456
Niemcy;Leverling;2003-08-12;10273;2037,28
Polska;Sowiński;2003-08-16;10274;538,6
Niemcy;Davolio;2003-08-09;10275;291,84
Niemcy;Callahan;2003-08-14;10276;420
Niemcy;Fuller;2003-08-13;10277;1200,8
Niemcy;Callahan;2003-08-16;10278;1488,8
Niemcy;Callahan;2003-08-16;10279;351
Niemcy;Fuller;2003-09-12;10280;613,2
Niemcy;Peacock;2003-08-21;10281;86,5
Niemcy;Peacock;2003-08-21;10282;155,4
Niemcy;Leverling;2003-08-23;10283;1414,8
Niemcy;Peacock;2003-08-27;10284;1170,37
Niemcy;Davolio;2003-08-26;10285;1743,36
Niemcy;Callahan;2003-08-30;10286;3016
Niemcy;Callahan;2003-08-28;10287;819
Niemcy;Peacock;2003-09-03;10288;80,1
Polska;King;2003-08-28;10289;479,4
Niemcy;Callahan;2003-09-03;10290;2169
Polska;Sowiński;2003-09-04;10291;497,52
Niemcy;Davolio;2003-09-02;10292;1296
Niemcy;Davolio;2003-09-11;10293;848,7
Niemcy;Peacock;2003-09-05;10294;1887,6
Niemcy;Fuller;2003-09-10;10295;121,6
Polska;Sowiński;2003-09-11;10296;1050,6
Polska;Kowalski;2003-09-10;10297;1420
Polska;Sowiński;2003-09-11;10298;2645
Niemcy;Peacock;2003-09-13;10299;349,5
Niemcy;Fuller;2003-09-18;10300;608
Niemcy;Callahan;2003-09-17;10301;755
Niemcy;Peacock;2003-10-09;10302;2708,8
Polska;King;2003-09-18;10303;1117,8
Niemcy;Davolio;2003-09-17;10304;954,4
Niemcy;Callahan;2003-10-09;10305;3741,3
Niemcy;Davolio;2003-09-23;10306;498,5
Niemcy;Fuller;2003-09-25;10307;424
Polska;King;2003-09-24;10308;88,8
Niemcy;Leverling;2003-10-23;10309;1762
Niemcy;Callahan;2003-09-27;10310;336
Niemcy;Davolio;2003-09-26;10311;268,8
Niemcy;Fuller;2003-10-03;10312;1614,8
Niemcy;Fuller;2003-10-04;10313;182,4
Niemcy;Davolio;2003-10-04;10314;2094,3
Niemcy;Peacock;2003-10-03;10315;516,8
